PhrozenByte,Pico,8806873,True,23359630
MSP-Greg,rails,1334,True,47719458
gumgum,Prebid.js,22050458,True,38783099
moonlight-stream,moonlight-android,NULL,True,19102548
lesserwhirls,lesserwhirls.github.io,NULL,True,31759418
SpoonX,wetland,NULL,True,40902725
Insti,exercism-ruby,67498126,True,68495118
MyEtherWallet,MyEtherWallet,NULL,True,58160871
pages-themes,hacker,NULL,True,52875783
obiba,agate,NULL,True,9860525
Homebrew,brew,NULL,True,33135287
claui,brew,33135287,True,52550002
DanSnow,vue-recaptcha,NULL,True,31692594
TomEvin,librenms,6103078,True,68725947
phpmyadmin,shapefile,NULL,True,39098576
webtorrent,webtorrent,NULL,True,62386240
wireload,screenly-ose,NULL,True,90060
maliceio,malice,NULL,True,30410249
hakanensari,vacuum,NULL,True,16281
wordpress-mobile,WordPress-iOS,NULL,True,321869
CherrySquid,CherrySquid.github.io,NULL,True,76043823
PowerShell,xComputerManagement,NULL,True,18842666
charlesccychen,beam,53564232,True,53807419
mauron85,react-native-background-geolocation,NULL,True,37966867
grugnog,charts,33846255,True,53642524
rasika90,carbon-device-mgt,16105165,True,29750901
website-scraper,node-website-scraper,NULL,True,72663346
b4b4r07,enhancd,NULL,True,13820849
darkblank,darkblank.github.io,NULL,True,74359672
securestate,king-phisher-templates,NULL,True,24626680
minishift,minishift,NULL,True,49794998
PowerShell,xStorage,NULL,True,21351877
prasanna08,oppia,22103199,True,31022359
xbeaudouin,librenms,6103078,True,26468656
gt2985,gt2985.github.io,9409249,True,14216281
poldracklab,mriqc,NULL,True,30500074
Ubuntu-Solutions-Engineering,conjure,NULL,True,28777220
aditya-kapoor,rails,1334,True,1464573
felipecvo,rails,1334,True,11852516
felixnguyen31,felixnguyen31.github.io,9409249,True,76415780
benbalter,licensee,NULL,True,11435736
rsim,ruby-plsql,NULL,True,325226
rcarrata,rcarrata.github.io,NULL,True,70694625
Factual,kudos,NULL,True,53318074
TransitApp,SVProgressHUD,NULL,True,10832091
omahajs,applied,NULL,True,55938821
tigert,betaflight-configurator,38830614,True,42837585
exercism,xcrystal,NULL,True,33244144
ylluminarious,homebrew-core,32902832,True,75453979
vtrnnhlinh,vtrnnhlinh.github.io,NULL,True,64961193
gfvcastro,rails,1334,True,29987965
patilsangram,erpnext,7976200,True,32316873
shioyama,rails,1334,True,1044288
lizan,envoy,45769443,True,52700369
labstack,echo,NULL,True,18054793
benbalter,jekyll-relative-links,NULL,True,50918070
pheanex,xpython,8267506,True,56778108
trinityfx,trinity,NULL,True,72920641
Factual,kudos21,NULL,True,34996702
JeffreyWay,laravel-mix,NULL,True,53159862
mohitnatoo,rails,1334,True,31240775
parallel-js,parallel.js,NULL,True,46725852
mmistakes,so-simple-theme,NULL,True,4245579
untidy-hair,rails,1334,True,11474223
MattH-be,ecmascript,67497846,True,78654103
xuhdev,vim-latex-live-preview,NULL,True,516109
PowerShell,xRemoteDesktopSessionHost,NULL,True,18842683
sjackman,homebrew-core,32902832,True,34592153
robertwb,incubator-beam,31691080,True,34191061
pressbooks,pressbooks,NULL,True,3230576
typo3-themes,theme_bootstrap4,NULL,True,24603870
chdecultot,frappe,7975648,True,59670576
kmcphillips,rails,1334,True,17089999
lachie83,charts,33846255,True,43575502
RasaHQ,rasa_nlu,NULL,True,65400872
mobxjs,mobx-state-tree,NULL,True,48852822
wso2-incubator,product-iot-server,NULL,True,27402847
Zales0123,Sylius,174642,True,14832013
kaidokert,json,4489243,True,86882310
PowerShell,xSCOM,NULL,True,18842697
decidim,decidim,NULL,True,62925165
abraxasyu,abraxasyu.github.io,NULL,True,21578370
stefanbode,Sonoff-Tasmota,55877825,True,62247228
ankane,chartkick.js,NULL,True,3725714
rack-test,rack-test,36376,True,61356428
rook,rook,NULL,True,50215757
acemod,ace3-misc,NULL,True,33978656
frctl,fractal,NULL,True,28562932
kategolden,kategolden.github.io,NULL,True,17815853
rsim,oracle-enhanced,NULL,True,5955
moonlight-stream,moonlight-chrome,NULL,True,32296279
reelsense,homebrew-core,32902832,True,34918715
madhawap,carbon-device-mgt-plugins,16105183,True,36761628
brynary,rack-test,NULL,True,36376
PowerShell,xDatabase,NULL,True,18842663
McJty,LostCities,NULL,True,66284428
RealBarrettBrown,xc,67497713,True,77973530
Azure,azure-quickstart-templates,NULL,True,19189656
BlakeWilliams,rails,NULL,True,27422453
Semantic-Org,Semantic-UI-React,NULL,True,37326766
simont77,fakegato-history,NULL,True,72176118
jgao54,airflow,20886510,True,33759106
nandub,homebrew-core,32902832,True,36724120
rangadi,beam,53564232,True,68714370
stoe,pdfify-node,NULL,True,60454213
mapbox,mapbox-java,NULL,True,35322539
PowerShell,xWinEventLog,NULL,True,18842704
3nids,QGIS,5389187,True,5586352
PowerShell,xAzurePack,NULL,True,18842662
oppia,oppia,NULL,True,22103199
gorilla,sessions,NULL,True,1690332
github,hubot,NULL,True,496
pqrs-org,KE-complex_modifications,NULL,True,68161262
tony,tmuxp,NULL,True,5356235
PowerShell,xSCSPF,NULL,True,18842691
librenms,librenms,NULL,True,6103078
renesansz,discord-greeter-bot,NULL,True,77329217
OWASP,pipeline,NULL,True,24993524
brianrodri,oppia,22103199,True,67365958
ShareX,ShareX,NULL,True,5684037
mmanela,chutzpah,NULL,True,8071582
Tuxity,loopback-connector-mongodb,5461092,True,44118102
TonyBazz,betaflight,38829050,True,65379043
palantir,http-remoting,NULL,True,29279399
DomT4,brew,33135287,True,34444368
WildGums,LogViewer,NULL,True,15184211
frett,cas,36544019,True,66918
pH7Software,pH7-Social-Dating-CMS,NULL,True,2936546
sid88in,incubator-airflow,34870181,True,73704494
seigel,pouchdb,8932041,True,39983392
hakanensari,peddler,NULL,True,8945849
linz,linz_bde_copy,NULL,True,8535861
jnishi,chainer,20907289,True,21055074
JCount,homebrew-core,32902832,True,35628127
clarkbw,jest-webextension-mock,NULL,True,63956395
decaffeinate-examples,hubot,496,True,55954247
xvazquezc,xvazquezc.github.io,NULL,True,76517013
ampedandwired,html-webpack-plugin,NULL,True,11344563
vitalisator,librenms,6103078,True,20534704
ssbc,graphmitter,NULL,True,14750205
manisandro,QGIS,5389187,True,8857304
vipulnsward,rails,1334,True,1045327
OWASP,django-DefectDojo,NULL,True,45216929
bmoore-msft,azure-quickstart-templates,19189656,True,19385865
nolimits4web,Swiper,NULL,True,54491
willbar,licensee,11435736,True,61183575
phpmyadmin,docker,NULL,True,29301591
