A;owner;project_name;days_until_stale;days_until_close;stale_label
3;Laravel-Backpack;Generators; 60; 14; stale
7;Laravel-Backpack;Generators; 60; 14; stale
6;Laravel-Backpack;Generators; 60; 14; stale
1;Laravel-Backpack;Generators; 60; 14; stale
8;gpu0;gpu0.github.io; 30; 7;
3;gpu0;gpu0.github.io; 30; 7;
1;gpu0;gpu0.github.io; 30; 7;
4;gpu0;gpu0.github.io; 30; 7;
1;gpu0;gpu0.github.io; 30; 7;
7;gpu0;gpu0.github.io; 30; 7;
0;gpu0;gpu0.github.io; 30; 7;
5;gpu0;gpu0.github.io; 30; 7;
0;gpu0;gpu0.github.io; 30; 7;
7;gpu0;gpu0.github.io; 30; 7;
4;zooniverse;Panoptes; 120; 7; stale
6;zooniverse;Panoptes; 120; 7; stale
6;Laravel-Backpack;permissionmanager; 60; 14; stale
8;Laravel-Backpack;permissionmanager; 60; 14; stale
0;sverweij;dependency-cruiser; 14; 7; wontfix
0;sverweij;dependency-cruiser; 7; 2; stale
9;sverweij;dependency-cruiser; 7; 2; stale
0;parksw3;parksw3.github.io; 60; 7; wontfix
7;askmike;gekko; 60; 7; wontfix
7;phingofficial;phing; 60; 7; wontfix
9;phingofficial;phing; 180; 60; wontfix
6;ssbc;patchwork; 60; 7; stale
0;ssbc;patchwork; 60; 7; stale
5;ssbc;patchwork; 60; 7; stale
3;mikesplain;openvas-docker; 60; 30; stale
4;mikesplain;openvas-docker; 60; 30; stale
2;mikesplain;openvas-docker; 60; 30; stale
2;jimmidyson;minishift; 60; 14; status
0;amar-laksh;brew_sudo; 21; 7; stale
0;amar-laksh;brew_sudo; 21; 7; stale
7;Screenly;screenly-ose; 60; 7; wontfix
7;Screenly;screenly-ose; 60; 7; stale
4;gorilla;schema; 60; 7; stale
0;jsbin;jsbin; 30; 7; stale
5;jsbin;jsbin; 30; 7; stale
6;s0ph1e;node-css-url-parser; 60; 7; wontfix
2;GoogleCloudPlatform;professional-services; 45; 7; stale
5;GoogleCloudPlatform;professional-services; 45; 7; stale
8;GoogleCloudPlatform;professional-services; 45; 7; stale
9;GoogleCloudPlatform;professional-services; 45; 7; stale
9;GoogleCloudPlatform;professional-services; 45; 7; stale
0;bfontaine;homebrew-command-not-found; 21; 7; stale
1;bfontaine;homebrew-command-not-found; 21; 7; stale
0;McJty;RFTools; 100000; 14;
2;ssbc;nicedate; 60; 7; stale
6;georgeluong;georgeluong.github.io; 30; 7;
0;georgeluong;georgeluong.github.io; 30; 7;
9;georgeluong;georgeluong.github.io; 30; 7;
2;jzaefferer;jquery-validation; 30; 7; stale
8;jzaefferer;jquery-validation; 60; 7; stale
1;mfariacastro;mfariacastro.github.io; 30; 7;
1;mfariacastro;mfariacastro.github.io; 30; 7;
5;mfariacastro;mfariacastro.github.io; 30; 7;
3;mfariacastro;mfariacastro.github.io; 30; 7;
4;niosus;EasyClangComplete; 60; 7; wontfix
6;storybooks;storybook; 45; 45; inactive
4;storybooks;storybook; 55; 5; inactive
1;storybooks;storybook; 85; 5; inactive
2;storybooks;storybook; 85; 5; inactive
3;storybooks;storybook; 85; 5; inactive
3;storybooks;storybook; 85; 5; inactive
6;storybooks;storybook; 85; 5; inactive
5;storybooks;storybook; 85; 5; inactive
7;storybooks;storybook; 85; 5; inactive
8;storybooks;storybook; 85; 5; inactive
2;storybooks;storybook; 85; 5; inactive
4;storybooks;storybook; 85; 5; inactive
0;storybooks;storybook; 88; 2; inactive
7;storybooks;storybook; 88; 2; inactive
4;storybooks;storybook; 45; 15; inactive
9;storybooks;storybook; 45; 15; inactive
7;storybooks;storybook; 45; 15; inactive
0;storybooks;storybook; 45; 15; inactive
5;storybooks;storybook; 45; 15; inactive
5;storybooks;storybook; 45; 15; inactive
6;storybooks;storybook; 45; 15; inactive
8;storybooks;storybook; 45; 15; inactive
1;storybooks;storybook; 45; 15; inactive
9;storybooks;storybook; 45; 15; inactive
1;storybooks;storybook; 45; 15; inactive
2;storybooks;storybook; 45; 15; inactive
6;storybooks;storybook; 45; 15; inactive
8;storybooks;storybook; 45; 15; inactive
5;storybooks;storybook; 45; 15; inactive
9;storybooks;storybook; 45; 15; inactive
9;storybooks;storybook; 45; 15; inactive
8;storybooks;storybook; 45; 15; inactive
8;storybooks;storybook; 45; 15; inactive
8;storybooks;storybook; 45; 15; inactive
2;storybooks;storybook; 45; 15; inactive
6;storybooks;storybook; 45; 15; inactive
4;storybooks;storybook; 45; 15; inactive
9;storybooks;storybook; 45; 15; inactive
6;storybooks;storybook; 45; 15; inactive
4;storybooks;storybook; 45; 15; inactive
9;storybooks;storybook; 45; 15; inactive
5;storybooks;storybook; 45; 15; inactive
5;storybooks;storybook; 45; 15; inactive
5;storybooks;storybook; 45; 15; inactive
7;storybooks;storybook; 45; 15; inactive
2;storybooks;storybook; 45; 15; inactive
4;storybooks;storybook; 45; 15; inactive
3;storybooks;storybook; 45; 15; inactive
7;storybooks;storybook; 45; 15; inactive
5;storybooks;storybook; 21; 30; inactive
4;storybooks;storybook; 21; 30; inactive
4;storybooks;storybook; 21; 30; inactive
0;storybooks;storybook; 21; 30; inactive
0;storybooks;storybook; 21; 30; inactive
1;storybooks;storybook; 21; 30; inactive
0;storybooks;storybook; 21; 30; inactive
5;storybooks;storybook; 21; 30; inactive
0;storybooks;storybook; 21; 30; inactive
2;storybooks;storybook; 21; 30; inactive
3;storybooks;storybook; 21; 30; inactive
1;storybooks;storybook; 21; 30; inactive
3;storybooks;storybook; 21; 30; inactive
9;storybooks;storybook; 21; 30; inactive
0;storybooks;storybook; 21; 30; inactive
6;storybooks;storybook; 21; 30; inactive
5;storybooks;storybook; 21; 30; inactive
3;storybooks;storybook; 21; 30; inactive
7;storybooks;storybook; 21; 30; inactive
3;storybooks;storybook; 21; 30; inactive
7;storybooks;storybook; 21; 30; inactive
6;storybooks;storybook; 21; 30; inactive
8;storybooks;storybook; 21; 30; inactive
6;LinioIT;common; 3;; stale
3;PowerShell;xSCSMA; 14; 40; abandoned
9;PowerShell;xSystemSecurity; 14; 40; abandoned
9;coliff;bootstrap-ie8; 60; 7; wontfix
4;coliff;bootstrap-ie8; 90; 14; wontfix
0;coliff;bootstrap-ie8; 365; 365; wontfix
9;jshjohnson;Choices; 60; 7; wontfix
9;jshjohnson;Choices; 60; 7; stale
8;typo3-themes;theme_bootstrap_appstrap;;;
8;feathersjs;feathers-rx; 84; 7; wontfix
6;andreipitis;ASPVideoPlayer; 60; 14; stale
2;DemonWav;IntelliJBukkitSupport; 30; 7;
6;DemonWav;IntelliJBukkitSupport; 30; 7;
5;DemonWav;IntelliJBukkitSupport; 30; 7;
6;DemonWav;IntelliJBukkitSupport; 30; 7;
0;DemonWav;IntelliJBukkitSupport; 30; 14;
0;DemonWav;IntelliJBukkitSupport; 30; 14;
7;DemonWav;IntelliJBukkitSupport; 30; 14;
3;getantibody;antibody; 60; 7; wontfix
3;athaynes;AuditPolicyDsc; 14; 40; abandoned
7;gocraft;dbr; 60; 7; wontfix
4;jekyll-fr;jekyll-fr.github.io; 60; 7; stale
2;jekyll-fr;jekyll-fr.github.io; 90; 7; stale
9;mattstratton;bowie; 60; 7; wontfix
1;PowerShell;xActiveDirectory; 14; 40; abandoned
6;PowerShell;xActiveDirectory; 14; 40; abandoned
8;PowerShell;xActiveDirectory; 14; 40; abandoned
4;PowerShell;xExchange; 14; 40; abandoned
4;DataDog;integrations-extras; 60; 14; wontfix
2;DataDog;integrations-extras; 60; 14; wontfix
7;DataDog;integrations-extras; 60; 14; stale
2;eruizdechavez;grunt-string-replace; 60; 7; wontfix
3;eruizdechavez;grunt-string-replace; 60; 7; wontfix
4;spotify;docker-gc; 60; 7; stale
0;spotify;docker-gc; 60; 7; stale
9;McJty;compatlayer; 100000; 14;
4;cleanflight;cleanflight; 30; 7; Inactive
8;cleanflight;cleanflight; 30; 7; Inactive
5;cleanflight;cleanflight; 30; 7; Inactive
0;cleanflight;cleanflight; 30; 7; Inactive
2;cleanflight;cleanflight; 30; 7; Inactive
0;cleanflight;cleanflight; 30; 7; Inactive
3;cleanflight;cleanflight; 30; 7; Inactive
2;moonlight-stream;moonlight-ios; 90; 7; stale
4;yacir;YBSlantedCollectionViewLayout; 60; 7; stale
6;localheinz;test-util; 60; 7; stale
9;localheinz;test-util; 60; 7; stale
2;hypothesis;via;;; stale
1;hypothesis;via;;; stale
2;PowerShell;xAdcsDeployment; 14; 40; abandoned
0;PowerShell;xAdcsDeployment; 14; 40; abandoned
9;toastdriven;pysolr; 90; 30; stale
8;toastdriven;pysolr; 90; 30; stale
5;toastdriven;pysolr; 90; 30; stale
4;McJty;DeepResonance; 100000; 14;
0;fcrespo82;atom-markdown-table-formatter; 90; 7; wontfix
2;fcrespo82;atom-markdown-table-formatter; 90; 7; stale
1;ubuntu;conjure-up; 120; 7; wontfix
1;ubuntu;conjure-up; 120; 7; wontfix
6;ubuntu;conjure-up; 120; 7; wontfix
0;lildude;phpZenfolio; 14; 2; stale
4;react-native-sensors;react-native-sensors; 30; 7; stale
0;nelson6e65;php_nml; 90; 7; staled
6;nelson6e65;php_nml; 90; 7; staled
5;pmviva;mention_system; 240; 7; wontfix
6;vcidst;vcidst.github.io; 30; 7;
3;vcidst;vcidst.github.io; 30; 7;
6;vcidst;vcidst.github.io; 30; 7;
5;vcidst;vcidst.github.io; 30; 7;
6;vcidst;vcidst.github.io; 30; 7;
9;vcidst;vcidst.github.io; 30; 7;
2;vcidst;vcidst.github.io; 30; 7;
2;vcidst;vcidst.github.io; 30; 7;
4;vcidst;vcidst.github.io; 30; 7;
6;vcidst;vcidst.github.io; 30; 7;
8;vcidst;vcidst.github.io; 30; 7;
5;vcidst;vcidst.github.io; 30; 7;
8;vcidst;vcidst.github.io; 30; 7;
3;vcidst;vcidst.github.io; 30; 7;
9;vcidst;vcidst.github.io; 30; 7;
1;michel-kraemer;bson4jackson; 60; 14; stale
4;LIISim;liisim.github.io; 30; 7;
1;LIISim;liisim.github.io; 30; 7;
1;LIISim;liisim.github.io; 30; 7;
4;LIISim;liisim.github.io; 30; 7;
7;blacktop;go-malice; 60; 7; wontfix
7;gorilla;csrf; 60; 7; stale
5;cesarferreira;drone; 30; 7; wontfix
9;cesarferreira;drone; 30; 7; wontfix
7;instagrambot;instabot; 60; 14; stale
9;instagrambot;instabot; 60; 14; stale
0;instagrambot;instabot; 60; 14; stale
7;rimusz;helm-charts; 30; 14;
3;rimusz;helm-charts; 30; 14; lifecycle
1;bazzite;nativescript-vibrate; 14; 7; wontfix
2;gorilla;handlers; 60; 7; stale
4;ssbc;examples; 60; 7; stale
9;auth0-extensions;auth0-source-control-extension-tools;;;
6;feathersjs;feathers-memory; 84; 7; wontfix
8;anarchicknight;nativescript-vibrate; 14; 7; wontfix
1;goern;mattermost-openshift; 60; 7; wontfix
1;ScriptonBasestar-Lib;sb-tool-jvm; 90; 30; stale
6;ScriptonBasestar-Lib;sb-tool-jvm; 90; 30; stale
7;SilentChaos512;SilentGems; 60; 10; stale
2;SilentChaos512;SilentGems; 60; 10; stale
6;SilentChaos512;SilentGems; 90; 10; stale
4;atom;atom; 730; 30; stale
0;atom;atom; 730; 30; stale
6;atom;atom; 730; 30; stale
1;atom;atom; 730; 30; stale
5;atom;atom; 730; 30; stale
0;atom;atom; 730; 30; stale
8;atom;atom; 365; 14; stale
2;atom;atom; 365; 14; stale
2;atom;atom; 365; 14; stale
7;atom;atom; 365; 14; stale
2;atom;atom; 365; 14; stale
4;atom;atom; 365; 14; stale
3;atom;atom; 365; 14; stale
6;atom;atom; 365; 14; stale
4;atom;atom; 365; 14; stale
6;atom;atom; 365; 14; stale
3;atom;atom; 365; 14; stale
1;atom;atom; 365; 14; stale
5;atom;atom; 365; 14; stale
5;atom;atom; 365; 14; stale
7;atom;atom; 365; 14; stale
5;atom;atom; 365; 14; stale
6;SilentChaos512;ScalingHealth; 60; 10; wontfix
8;SilentChaos512;ScalingHealth; 60; 10; wontfix
2;SilentChaos512;ScalingHealth; 90; 10; wontfix
4;klen;python-mode; 150; 21; inactive
8;stevenschobert;instafeed.js; 90; 7; stale
3;IntellectualCrafters;PlotSquared; 60; 7; Old
6;IntellectualCrafters;PlotSquared; 60; 7; Old
6;feathersjs;feathers-rethinkdb; 84; 7; wontfix
3;vincentriemer;io-808; 60; 7; wontfix
5;ssbc;patchbay; 60; 7; stale
2;ssbc;patchbay; 60; 7; stale
4;chainer;chainer; 90; 30; stale
1;chainer;chainer; 90; 30; stale
0;chainer;chainer; 90; 30; stale
0;chainer;chainer; 90; 30; stale
4;chainer;chainer; 90; 30; stale
8;chainer;chainer; 90; 30; stale
5;chainer;chainer; 90; 30; stale
6;chainer;chainer; 90; 30; stale
4;chainer;chainer; 90; 30; stale
3;chainer;chainer; 90; 30; stale
4;chainer;chainer; 90; 30; stale
2;chainer;chainer; 90; 30; stale
0;chainer;chainer; 90; 30; stale
2;chainer;chainer; 90; 30; stale
1;chainer;chainer; 90; 30; stale
6;chainer;chainer; 90; 30; stale
6;chainer;chainer; 90; 30; stale
3;chainer;chainer; 90; 30; stale
5;chainer;chainer; 90; 30; stale
1;chainer;chainer; 90; 30; stale
6;chainer;chainer; 90; 30; stale
8;chainer;chainer; 90; 30; stale
9;chainer;chainer; 90; 30; stale
7;chainer;chainer; 90; 30; stale
9;chainer;chainer; 90; 30; stale
0;chainer;chainer; 90; 30; stale
6;chainer;chainer; 90; 30; stale
4;chainer;chainer; 90; 30; stale
8;chainer;chainer; 90; 30; stale
1;chainer;chainer; 90; 30; stale
8;chainer;chainer; 90; 30; stale
7;chainer;chainer; 90; 30; stale
2;chainer;chainer; 90; 30; stale
0;chainer;chainer; 90; 30; stale
6;chainer;chainer; 90; 30; stale
7;chainer;chainer; 90; 30; stale
5;chainer;chainer; 90; 30; stale
6;chainer;chainer; 90; 30; stale
0;dudok;dudok.github.io; 60; 7; wontfix
8;MysteriumNetwork;node; 90; 60; stale
4;MysteriumNetwork;node; 90; 60; stale
2;MysteriumNetwork;node; 90; 60; stale
1;MysteriumNetwork;node; 90; 60; stale
5;MysteriumNetwork;node; 90; 60; stale
0;MysteriumNetwork;node; 90; 60; stale
1;MysteriumNetwork;node; 90; 60; stale
6;MysteriumNetwork;node; 90; 60; stale
0;spike-lab;spike-lab.github.io; 30; 7;
4;exercism;xperl5;;;
7;exercism;xperl5; 180; 7; stale
6;exercism;xperl5; 180; 7; stale
9;nnadeau;pybotics; 60; 7; wontfix
4;nnadeau;pybotics; 60; 7; wontfix
1;nnadeau;pybotics; 60;; wontfix
9;nnadeau;pybotics; 60;; stale
7;nnadeau;pybotics; 60;; stale
8;nnadeau;pybotics; 60;; stale
7;nnadeau;pybotics; 60;; stale
9;nnadeau;pybotics; 60;; stale
2;nnadeau;pybotics; 60;; stale
6;nnadeau;pybotics; 60;; stale
7;nnadeau;pybotics; 60;; stale
1;nnadeau;pybotics; 60;; stale
0;nnadeau;pybotics; 60;; stale
2;node-serialport;node-serialport; 60; 7; wontfix
1;node-serialport;node-serialport; 60; 7; stale
6;checkr;codeflow; 30; 7; wontfix
3;PowerShell;xCredSSP; 14; 40; abandoned
2;ssbc;secure-scuttlebutt; 60; 7; stale
6;ssbc;secure-scuttlebutt; 60; 7; stale
7;ssbc;secure-scuttlebutt; 60; 7; stale
9;ssbc;secure-scuttlebutt; 60; 7; stale
4;kura;hauntr;;;
3;ZoneMinder;ZoneMinder; 60; 7; stale
6;ZoneMinder;ZoneMinder; 60; 7; stale
1;ZoneMinder;ZoneMinder; 60; 7; stale
8;ZoneMinder;ZoneMinder; 60; 7; stale
0;ZoneMinder;ZoneMinder; 60; 7; stale
5;ZoneMinder;ZoneMinder; 60; 7; stale
