"owner","name","stars","forks"
"WeblateOrg","wlc",5,3
"MessageKit","MessageKit",2710,448
"qgis","QGIS",2536,1428
"dabutvin","ImgBot",410,53
"securestate","king-phisher-plugins",29,32
"IntellectualSites","PlotSquared",149,150
"PowerShell","xInternetExplorerHomePage",3,4
"salesforce-ux","design-system-starter-kit",198,466
"envoyproxy","envoy",8679,1287
"Chewbotcca","IRC",8,6
"SUPERCILEX","Robot-Scouter",73,25
"SUSE","Portus",2274,412
"Pr0Ger","PyAPNs2",162,57
"unitejs","engine",1,1
"CocoaPods","cocoadocs.org",96,18
"michel-kraemer","gradle-download-task",324,50
"rails","rails",42438,17116
"eGust","epub-reader",8,3
"Automattic","wp-calypso",10883,1548
"micro-a5k","microg-unofficial-installer",46,9
"Linuxbrew","brew",2478,215
"idehub","react-native-billing",568,90
"muan","hello-world",60,169
"ToroCraft","ToroQuest",12,9
"facebook","fresco",15403,3625
"ToroCraft","NemesisSystem",5,0
"obiba","opal",16,14
"Belval","pdf2image",194,35
"fanglingsu","vimb",662,74
"avto-dev","static-references-laravel",0,1
"Homebrew","homebrew-core",5399,5923
"kywk","hexi",0,0
"Pipeoverflow","website",0,0
"palantir","gradle-baseline",98,78
"Jasig","cas",5604,2602
"travis-ci","dpl",928,334
"timgrossmann","InstaPy",7255,1946
"PowerShell","xSmbShare",19,19
"donovanwatts","donovanwatts.github.io",0,0
"exercism","xjavascript",216,194
"CHEF-KOCH","regtweaks",313,85
"chentsulin","electron-react-boilerplate",11448,1889
"CartoDB","cartodb",2097,577
"njleonzhang","vue-data-tables",778,157
"ssbc","ssb-ref",7,8
"EmergingTechnologyAdvisors","node-serialport",3836,794
"StarExec","code-prettify",0,0
"feross","webtorrent-desktop",6018,693
"Glavin001","atom-beautify",1388,425
"yoshuawuyts","bankai",997,81
"mwarkentin","django-watchman",250,36
"firefly-iii","firefly-iii",2041,344
"avtocod","b2b-api-php-laravel",1,1
"typo3-themes","themes_showcase",0,3
"PowerShell","xFailOverCluster",32,41
"mathieujobin","reduced-rails-for-travis",0,0
"ethereum","go-ethereum",22762,8051
"openrazer","openrazer",956,134
"CHEF-KOCH","CryptoNews",1,2
"PlagueHO","FSRMDsc",6,0
"nspragg","filehound",142,9
"Laravel-Backpack","Generators",135,37
"gpu0","gpu0.github.io",0,0
"zooniverse","Panoptes",68,28
"Laravel-Backpack","permissionmanager",253,97
"sverweij","dependency-cruiser",293,30
"parksw3","parksw3.github.io",0,1
"askmike","gekko",7757,2781
"phingofficial","phing",971,300
"ssbc","patchwork",2544,272
"mikesplain","openvas-docker",370,158
"jimmidyson","minishift",1550,317
"amar-laksh","brew_sudo",0,0
"Screenly","screenly-ose",725,352
"gorilla","schema",539,110
"jsbin","jsbin",3835,1122
"s0ph1e","node-css-url-parser",15,8
"GoogleCloudPlatform","professional-services",247,155
"bfontaine","homebrew-command-not-found",0,0
"McJty","RFTools",190,84
"ssbc","nicedate",22,1
"georgeluong","georgeluong.github.io",0,0
"jzaefferer","jquery-validation",9301,2666
"mfariacastro","mfariacastro.github.io",0,0
"niosus","EasyClangComplete",422,60
"storybooks","storybook",34889,2698
"LinioIT","common",3,1
"PowerShell","xSCSMA",13,13
"PowerShell","xSystemSecurity",13,19
"coliff","bootstrap-ie8",208,45
"jshjohnson","Choices",2419,250
"typo3-themes","theme_bootstrap_appstrap",1,3
"feathersjs","feathers-rx",186,23
"andreipitis","ASPVideoPlayer",41,27
"DemonWav","IntelliJBukkitSupport",323,46
"getantibody","antibody",867,41
"athaynes","AuditPolicyDsc",7,8
"gocraft","dbr",1209,130
"jekyll-fr","jekyll-fr.github.io",20,17
"mattstratton","bowie",0,0
"PowerShell","xActiveDirectory",110,83
"PowerShell","xExchange",47,38
"DataDog","integrations-extras",60,160
"eruizdechavez","grunt-string-replace",189,22
"spotify","docker-gc",4788,442
"McJty","compatlayer",13,6
"cleanflight","cleanflight",2092,1325
"moonlight-stream","moonlight-ios",419,121
"yacir","YBSlantedCollectionViewLayout",1321,78
"localheinz","test-util",9,1
"hypothesis","via",45,20
"PowerShell","xAdcsDeployment",25,19
"toastdriven","pysolr",489,293
"McJty","DeepResonance",48,27
"fcrespo82","atom-markdown-table-formatter",22,10
"ubuntu","conjure-up",383,59
"lildude","phpZenfolio",7,2
"react-native-sensors","react-native-sensors",403,99
"nelson6e65","php_nml",2,3
"pmviva","mention_system",30,3
"vcidst","vcidst.github.io",0,0
"michel-kraemer","bson4jackson",212,67
"LIISim","liisim.github.io",0,0
"blacktop","go-malice",782,134
"gorilla","csrf",371,60
"cesarferreira","drone",419,32
"instagrambot","instabot",1275,443
"rimusz","helm-charts",0,0
"bazzite","nativescript-vibrate",23,9
"gorilla","handlers",720,149
"ssbc","examples",6,6
"auth0-extensions","auth0-source-control-extension-tools",3,9
"feathersjs","feathers-memory",33,10
"anarchicknight","nativescript-vibrate",23,9
"goern","mattermost-openshift",26,30
"ScriptonBasestar-Lib","sb-tool-jvm",0,0
"SilentChaos512","SilentGems",23,10
"atom","atom",48035,11216
"SilentChaos512","ScalingHealth",18,4
"klen","python-mode",4560,846
"stevenschobert","instafeed.js",2813,700
"IntellectualCrafters","PlotSquared",149,150
"feathersjs","feathers-rethinkdb",80,28
"vincentriemer","io-808",445,45
"ssbc","patchbay",221,56
"chainer","chainer",4633,1229
"dudok","dudok.github.io",0,0
"MysteriumNetwork","node",508,80
"spike-lab","spike-lab.github.io",0,0
"exercism","xperl5",19,33
"nnadeau","pybotics",59,9
"node-serialport","node-serialport",3836,794
"checkr","codeflow",176,14
"PowerShell","xCredSSP",10,8
"ssbc","secure-scuttlebutt",1018,74
"kura","hauntr",6,6
"ZoneMinder","ZoneMinder",2077,728
"WoLpH","numpy-stl",170,40
"raphael","goa",3300,364
"KevinKelley","KevinKelley.github.io",0,0
"apache","incubator-airflow",11366,4022
"pathawks","jekyll-commonmark",9,13
"kura","pelican_vimeo",2,1
"exercism","xlua",16,29
"nozzle","react-static",6769,548
"serverspec","serverspec",2220,369
"SebastianM","angular-google-maps",1599,618
"clostra","dcdn",33,8
"request","request",22002,2605
"buildbot","buildbot",3818,1327
"auth0","auth0-logs-to-loggly",1,14
"howdyai","botkit",8993,1967
"wso2-dev","product-device-cloud",89,150
"PowerShell","xPendingReboot",26,12
"apereo","cas",5604,2602
"samvera","hyrax",95,84
"nicolaiarocci","eve-swagger",122,31
"timedreamer","timedreamer.github.io",0,0
"exercism","xruby",294,353
"apollographql","react-apollo",4684,577
"sapcc","kubernikus",66,12
"DemonWav","MinecraftDev",323,46
"Catel","Catel.Fody",15,7
"mezz","JustEnoughItems",239,120
"Samfox2","homebridge-videodoorbell",37,8
"mukeshsolanki","country-picker-android",250,105
"nolimits4web","Framework7",13971,2942
"ssbc","packet-stream",21,3
"angular-ui","ng-grid",5247,2582
"PowerShell","xRemoteDesktopAdmin",9,14
"PX4","Firmware",2385,6988
"viddo","recent-files-fuzzy-finder",18,6
"clarkbw","jest-localstorage-mock",131,15
"kura","ghastly",6,1
"raulriera","TextFieldEffects",5019,543
"xCss","Valine",792,91
"paramaggarwal","react-dropzone",5498,541
"Daltron","NotificationBanner",2644,281
"strongloop","loopback-faq-user-management",175,134
"ropensci","screencasts",0,0
"getinsomnia","insomnia",9215,490
"giulio92","GLExtendedWebView",2,0
"PowerShell","xDismFeature",4,11
"fszlin","certes",168,27
"LanikSJ","ubo-filters",1,1
"dowjones","react-dropdown-tree-select",111,52
"PowerShell","xFirefox",4,13
"alexanderepstein","Bash-Snippets",6857,525
"Moya","Moya",10301,1194
"spotify","luigi",11075,1857
"spotify","docker-maven-plugin",1921,464
"PowerShell","xDhcpServer",11,26
"BillyBlaze","OctoPrint-TouchUI",126,48
"monterail","vue-multiselect",4023,550
"cucumber","cucumber-ruby",5002,1103
"pages-themes","slate",118,362
"nteract","composition",3693,356
"feathersjs","feathers-sequelize",123,58
"agrc","agrc.github.io",10,31
"LinioIT","queue",3,2
"bortek","EZ-WifiBroadcast",243,76
"lildude","phpSmug",39,11
"framework7io","Framework7",13971,2942
"wix","react-native-navigation",9819,2128
"obiba","jennite",0,0
"pathawks","Jekyll-CMark",9,13
"RasaHQ","rasa_core",2019,904
"stoelzle","pdfify-node",3,0
"codl","forget",43,0
"cherrypy","cheroot",63,48
"Laravel-Backpack","crud",1236,440
"express-labs","pure-react-carousel",232,32
"martincostello","credit-card-splitter",1,0
"xt0rted","Nancy.Validation.DataAnnotations.Extensions",4,0
"standard","standard",20615,1551
"coreos","clair",4867,612
"obiba","mica2",4,7
"kura","kura.io",14,5
"zooniverse","Panoptes-Front-End",48,56
"PlagueHO","cDFS",14,14
"poooi","poi",1250,338
"SlvrEagle23","AzuraCast",398,118
"meetfranz","franz",2764,372
"facebookincubator","create-react-app",64787,14317
"exercism","python",503,468
"feathersjs","feathers-batch",50,7
"naver","pinpoint",8224,2541
"auth0-extensions","auth0-authentication-api-debugger-extension",1,6
"probot","probot",4351,411
"cjohansen","Sinon.JS",6940,689
"poldracklab","fmriprep",180,117
"estahn","phpunit-json-assertions",13,6
"spotify","docker-client",1168,462
"feathersjs","feathers-localstorage",24,6
"PowerShell","xChrome",7,13
"martincostello","adventofcode",1,0
"Linuxbrew","homebrew-core",414,181
"gho-ramos","GRTextField",0,0
"agrc","gis.utah.gov",10,31
"bkimminich","juice-shop",1731,946
"mizzy","serverspec",2220,369
"mizzy","specinfra",264,330
"exercism","xelisp",15,18
"kura","pelican_youtube",19,9
"hypothesis","bouncer",13,13
"yakyak","yakyak",3629,314
"snipe","snipe-it",2764,1133
"manddar","manddar.github.io",0,0
"thomasjo","atom-latex",205,43
"Homebrew","patches",24,76
"luin","ioredis",5486,531
"caarlos0","antibody",867,41
"krystalcampioni","vue-hotel-datepicker",431,133
"yamitcar","atc-onlinesubmin201718",0,0
"madappstechnologies","country-picker-android",250,105
"jlnrd","jlnrd.github.io",0,0
"anbox","anbox",2470,512
"Mozharovsky","CVCalendar",3169,574
"PowerShell","xCertificate",58,52
"sequelize","sequelize",17758,2804
"frappe","erpnext",4521,1997
"apache","thrift",5945,2791
"conjure-up","conjure-up",383,59
"stoe","alfred-github-tools",9,0
"phenyard","phenyard.github.io",0,0
"Catel","Catel.Benchmarks",1,0
"bkeepers","dotenv",5086,350
"jpadilla","ember-simple-auth-token",339,130
"benbalter","github-records-archiver",91,21
"RxSwiftCommunity","RxOptional",481,62
"hexojs","hexo",25558,3442
"cucumber","cucumber",2369,473
"karoldvl","EARS",53,14
"wordpress-mobile","WordPress-Android",2017,1004
"AzuraCast","AzuraCast",398,118
"exercism","xpony",25,17
"jaredpalmer","formik",13662,815
"typo3-themes","theme_bootstrap_restart",1,3
"opsdroid","opsdroid",230,117
"coredns","coredns",3656,583
"hubotio","hubot",14788,3456
"kadirahq","react-storybook",34889,2698
"jdorfman","Awesome-JSON-Datasets",1605,207
"kura","pelican-githubprojects",10,5
"ericmjl","Network-Analysis-Made-Simple",409,212
"RakanNimer","react-google-charts",511,143
"cucumber","aruba",829,151
"ssbc","patchcore",71,16
"fogbeam","cas_mirror",0,2
"benbalter","gman",117,80
"kc10kevin","betaflight",11,0
"nfarina","homebridge",11228,1359
"pmviva","follow_system",0,0
"electron","electron",70820,9216
"viode","viode",44,15
"costanzo","costanzo.github.io",0,0
"thedaviddias","Front-End-Checklist",33793,3211
"obiba","magma",5,12
"walbarello","walbarello.github.io",0,0
"pages-themes","cayman",440,1218
"hypothesis","browser-extension",92,41
"vintagesucks","caddy-script",35,9
"feross","webtorrent",18873,1812
"mmistakes","jekyll-theme-basically-basic",298,307
"LinioIT","util",7,4
"yeriomin","YalpStore",1508,139
"Aceheliflyer","Ace-Bot",10,6
"PowerShell","xSCDPM",3,7
"xia2","workflows",3,0
"CCob","bittrex4j",31,18
"zosconnect","zosconnect-node",6,5
"kura","blackhole",46,7
"mcavage","node-restify",9100,928
"rundeck","rundeck-cli",63,29
"PowerShell","xMySql",6,14
"lyft","envoy",8679,1287
"xt0rted","Raygun.Owin",3,3
"DataDog","integrations-core",224,407
"fog","fog",4192,1535
"jcwalker","xSecedit",47,25
"brpc","brpc",8280,1896
"euvl","vue-js-modal",2204,298
"CVCalendar","CVCalendar",3169,574
"NARKOZ","gitlab",720,288
"PowerShell","xDscDiagnostics",18,11
"andris9","Nodemailer",10804,964
"jasonmit","ember-intl",347,94
"tldr-pages","tldr",21287,1588
"mweststrate","mobx-state-tree",4063,385
"vkbansal","react-contextmenu",830,204
"LinioIT","cache",6,7
"exercism","xelm",100,67
"pmviva","like_system",3,0
"sanex3339","javascript-obfuscator",2445,320
"asnaedae","asnaedae.github.io",0,0
"webtorrent","webtorrent-desktop",6018,693
"benbalter","word-to-markdown",1008,115
"cuiyanwen","cuiyanwen.github.io",2,0
"s0ph1e","node-website-scraper",569,114
"phpmyadmin","motranslator",25,15
"WeblateOrg","docker",35,58
"frappe","frappe",1129,865
"deanoemcke","thegreatsuspender",2379,242
"exercism","xecmascript",115,120
"stoe","atom-markdown-wrapper",1,1
"ShareX","CustomUploaders",149,139
"Fody","LoadAssembliesOnStartup",17,4
"karoldvl","echonet",18,3
"testcontainers","testcontainers-java",2117,369
"PlagueHO","cWSMan",5,2
"betaflight","betaflight-tx-lua-scripts",178,79
"ptmt","react-native-desktop",10894,457
"ATLauncher","style-guide",0,0
"ssbc","ssb-blobs",6,8
"viddo","atom-textual-velocity",24,2
"yahoo","ember-intl",347,94
"hamidfzm","Flask-HTMLmin",47,15
"giulio92","GLTableCollectionView",654,36
"CHEF-KOCH","NoScript-Whitelist",61,10
"akiran","react-slick",6553,1436
"erickrdch","grunt-string-replace",189,22
"ssbc","ssb-config",14,12
"goreleaser","releaser",3823,238
"LinioIT","tortilla",11,0
"pouchdb","pouchdb",11704,1165
"PowerShell","xBitlocker",6,16
"Misterhex","Misterhex.github.io",0,0
"clappr","clappr",4572,630
"feathersjs","feathers-sync",145,24
"picocms","Pico",3044,526
"LinioIT","rule-engine",4,0
"McJty","XNet",28,14
"apereo","apereo.github.io",9,13
"exercism","xperl6",13,25
"DiamondLightSource","python-workflows",3,0
"mochajs","mocha",17360,2373
"nlohmann","json",13102,2154
"SkyHarp","LegendOfMountainSea",59,21
"github","pages-gem",1363,248
"pages-themes","midnight",88,214
"webdriverio","webdriverio",4681,1309
"WormieCorp","Localization.AspNetCore.TagHelpers",7,7
