wireload,screenly-ose,https://github.com/wireload/screenly-ose.git
maliceio,malice,https://github.com/maliceio/malice.git
hakanensari,vacuum,https://github.com/hakanensari/vacuum.git
wordpress-mobile,WordPress-iOS,https://github.com/wordpress-mobile/WordPress-iOS.git
CherrySquid,CherrySquid.github.io,https://github.com/CherrySquid/CherrySquid.github.io.git
PowerShell,xComputerManagement,https://github.com/PowerShell/xComputerManagement.git
mauron85,react-native-background-geolocation,https://github.com/mauron85/react-native-background-geolocation.git
website-scraper,node-website-scraper,https://github.com/website-scraper/node-website-scraper.git
b4b4r07,enhancd,https://github.com/b4b4r07/enhancd.git
darkblank,darkblank.github.io,https://github.com/darkblank/darkblank.github.io.git
securestate,king-phisher-templates,https://github.com/securestate/king-phisher-templates.git
minishift,minishift,https://github.com/minishift/minishift.git
PowerShell,xStorage,https://github.com/PowerShell/xStorage.git
poldracklab,mriqc,https://github.com/poldracklab/mriqc.git
Ubuntu-Solutions-Engineering,conjure,https://github.com/Ubuntu-Solutions-Engineering/conjure.git
benbalter,licensee,https://github.com/benbalter/licensee.git
rsim,ruby-plsql,https://github.com/rsim/ruby-plsql.git
rcarrata,rcarrata.github.io,https://github.com/rcarrata/rcarrata.github.io.git
Factual,kudos,https://github.com/Factual/kudos.git
TransitApp,SVProgressHUD,https://github.com/TransitApp/SVProgressHUD.git
omahajs,applied,https://github.com/omahajs/applied.git
exercism,xcrystal,https://github.com/exercism/xcrystal.git
vtrnnhlinh,vtrnnhlinh.github.io,https://github.com/vtrnnhlinh/vtrnnhlinh.github.io.git
labstack,echo,https://github.com/labstack/echo.git
benbalter,jekyll-relative-links,https://github.com/benbalter/jekyll-relative-links.git
trinityfx,trinity,https://github.com/trinityfx/trinity.git
Factual,kudos21,https://github.com/Factual/kudos21.git
JeffreyWay,laravel-mix,https://github.com/JeffreyWay/laravel-mix.git
parallel-js,parallel.js,https://github.com/parallel-js/parallel.js.git
mmistakes,so-simple-theme,https://github.com/mmistakes/so-simple-theme.git
xuhdev,vim-latex-live-preview,https://github.com/xuhdev/vim-latex-live-preview.git
PowerShell,xRemoteDesktopSessionHost,https://github.com/PowerShell/xRemoteDesktopSessionHost.git
pressbooks,pressbooks,https://github.com/pressbooks/pressbooks.git
typo3-themes,theme_bootstrap4,https://github.com/typo3-themes/theme_bootstrap4.git
RasaHQ,rasa_nlu,https://github.com/RasaHQ/rasa_nlu.git
mobxjs,mobx-state-tree,https://github.com/mobxjs/mobx-state-tree.git
wso2-incubator,product-iot-server,https://github.com/wso2-incubator/product-iot-server.git
PowerShell,xSCOM,https://github.com/PowerShell/xSCOM.git
decidim,decidim,https://github.com/decidim/decidim.git
abraxasyu,abraxasyu.github.io,https://github.com/abraxasyu/abraxasyu.github.io.git
ankane,chartkick.js,https://github.com/ankane/chartkick.js.git
rook,rook,https://github.com/rook/rook.git
acemod,ace3-misc,https://github.com/acemod/ace3-misc.git
frctl,fractal,https://github.com/frctl/fractal.git
kategolden,kategolden.github.io,https://github.com/kategolden/kategolden.github.io.git
rsim,oracle-enhanced,https://github.com/rsim/oracle-enhanced.git
moonlight-stream,moonlight-chrome,https://github.com/moonlight-stream/moonlight-chrome.git
brynary,rack-test,https://github.com/brynary/rack-test.git
PowerShell,xDatabase,https://github.com/PowerShell/xDatabase.git
McJty,LostCities,https://github.com/McJty/LostCities.git
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates.git
BlakeWilliams,rails,https://github.com/BlakeWilliams/rails.git
Semantic-Org,Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React.git
simont77,fakegato-history,https://github.com/simont77/fakegato-history.git
stoe,pdfify-node,https://github.com/stoe/pdfify-node.git
mapbox,mapbox-java,https://github.com/mapbox/mapbox-java.git
PowerShell,xWinEventLog,https://github.com/PowerShell/xWinEventLog.git
PowerShell,xAzurePack,https://github.com/PowerShell/xAzurePack.git
oppia,oppia,https://github.com/oppia/oppia.git
gorilla,sessions,https://github.com/gorilla/sessions.git
github,hubot,https://github.com/github/hubot.git
pqrs-org,KE-complex_modifications,https://github.com/pqrs-org/KE-complex_modifications.git
tony,tmuxp,https://github.com/tony/tmuxp.git
PowerShell,xSCSPF,https://github.com/PowerShell/xSCSPF.git
librenms,librenms,https://github.com/librenms/librenms.git
renesansz,discord-greeter-bot,https://github.com/renesansz/discord-greeter-bot.git
OWASP,pipeline,https://github.com/OWASP/pipeline.git
ShareX,ShareX,https://github.com/ShareX/ShareX.git
mmanela,chutzpah,https://github.com/mmanela/chutzpah.git
palantir,http-remoting,https://github.com/palantir/http-remoting.git
WildGums,LogViewer,https://github.com/WildGums/LogViewer.git
pH7Software,pH7-Social-Dating-CMS,https://github.com/pH7Software/pH7-Social-Dating-CMS.git
hakanensari,peddler,https://github.com/hakanensari/peddler.git
linz,linz_bde_copy,https://github.com/linz/linz_bde_copy.git
clarkbw,jest-webextension-mock,https://github.com/clarkbw/jest-webextension-mock.git
xvazquezc,xvazquezc.github.io,https://github.com/xvazquezc/xvazquezc.github.io.git
ampedandwired,html-webpack-plugin,https://github.com/ampedandwired/html-webpack-plugin.git
ssbc,graphmitter,https://github.com/ssbc/graphmitter.git
OWASP,django-DefectDojo,https://github.com/OWASP/django-DefectDojo.git
nolimits4web,Swiper,https://github.com/nolimits4web/Swiper.git
phpmyadmin,docker,https://github.com/phpmyadmin/docker.git
PowerShell,xWindowsEventForwarding,https://github.com/PowerShell/xWindowsEventForwarding.git
