A;owner;project_name;exempt_labels
4;pfnet;chainer;['roadmap', 'bug']
1;pfnet;chainer;['roadmap', 'bug']
3;pfnet;chainer;['roadmap', 'bug']
1;pfnet;chainer;['roadmap', 'bug']
3;pfnet;chainer;['roadmap', 'bug']
4;pfnet;chainer;['roadmap', 'bug']
6;pfnet;chainer;['roadmap', 'bug']
1;pfnet;chainer;['roadmap', 'bug']
0;pfnet;chainer;['roadmap', 'bug']
4;DemonWav;MinecraftDevIntelliJ;
3;DemonWav;MinecraftDevIntelliJ;
2;DemonWav;MinecraftDevIntelliJ;
3;DemonWav;MinecraftDevIntelliJ;
5;DemonWav;MinecraftDevIntelliJ;
9;DemonWav;MinecraftDevIntelliJ;
8;DemonWav;MinecraftDevIntelliJ;
1;mmistakes;minimal-mistakes;['pinned', 'security']
2;mmistakes;minimal-mistakes;['pinned', 'security']
5;mmistakes;minimal-mistakes;
8;mmistakes;minimal-mistakes;
7;mmistakes;minimal-mistakes;
2;mmistakes;minimal-mistakes;
7;mmistakes;minimal-mistakes;
4;mmistakes;minimal-mistakes;
2;mmistakes;minimal-mistakes;
7;mmistakes;minimal-mistakes;
9;mmistakes;minimal-mistakes;
8;mmistakes;minimal-mistakes;
9;mmistakes;minimal-mistakes;
0;LinioIT;mail;['pinned', 'security']
2;WaterfallMC;Waterfall;
0;WaterfallMC;Waterfall;
6;rematch;rematch;['pinned', 'security']
5;mrBussy;mrbussy.github.io;['pinned', 'security']
3;mrBussy;mrbussy.github.io;['pinned', 'security']
4;mrBussy;mrbussy.github.io;
3;mrBussy;mrbussy.github.io;
5;mrBussy;mrbussy.github.io;
4;exercism;xpython;['pinned', 'security']
3;exercism;xpython;['discussion', 'pinned']
2;exercism;xpython;['discussion', 'pinned', 'epic', 'enhancement', 'beginner friendly']
6;exercism;xpython;['discussion', 'pinned', 'epic', 'enhancement', 'beginner friendly', 'awaiting review']
9;gdavila;gdavila.github.io;['pinned', 'security']
7;gdavila;gdavila.github.io;['pinned', 'security']
6;gdavila;gdavila.github.io;
3;gdavila;gdavila.github.io;
6;gdavila;gdavila.github.io;
1;gdavila;gdavila.github.io;
6;gdavila;gdavila.github.io;
6;gdavila;gdavila.github.io;
9;mattstratton;probablyfine;['pinned', 'security']
5;mattstratton;probablyfine;['pinned', 'security']
5;tekezo;Karabiner-Elements;['pinned', 'security', 'regression']
6;Sylius;Sylius;['Bug', 'Critical', 'RFC']
3;Sylius;Sylius;['Bug', 'Critical', 'RFC']
6;Sylius;Sylius;['Bug', 'Critical', 'RFC']
3;Sylius;Sylius;['Bug', 'Critical', 'RFC']
9;Sylius;Sylius;['Bug', 'Critical']
3;Sylius;Sylius;['Bug', 'Critical']
1;Sylius;Sylius;['Bug', 'Critical']
4;Sylius;Sylius;['Bug', 'Critical']
1;Sylius;Sylius;['Bug', 'Critical', 'Do not stale']
8;Sylius;Sylius;['Bug', 'Critical', 'Do not stale']
9;Sylius;Sylius;['Bug', 'Critical', 'Do not stale']
4;Sylius;Sylius;['Bug', 'Critical', 'Do not stale']
1;Sylius;Sylius;['Bug', 'Critical', 'Do not stale']
0;Sylius;Sylius;['Bug', 'Critical', 'Do not stale', 'Roadmap']
5;Sylius;Sylius;['Bug', 'Critical', 'Do not stale', 'Roadmap']
2;Sylius;Sylius;['Bug', 'Critical', 'Do not stale', 'Roadmap']
4;Sylius;Sylius;['Bug', 'Critical', 'Do not stale', 'Roadmap']
3;Sylius;Sylius;['Bug', 'Critical', 'Do not stale', 'Roadmap']
1;Aceheliflyer;AceBot;
6;Aceheliflyer;AceBot;
6;Blizzard;node-rdkafka;['help wanted', 'bug', 'enhancement']
7;zsdonghao;tensorlayer;['features', 'bug', 'discussion', 'help wanted', 'enhancement', 'stale', 'awaiting_response']
1;zsdonghao;tensorlayer;['feature_request', 'bug', 'CI_Tool', 'discussion', 'documentation', 'enhancement', 'help_wanted', 'feature_request', 'tensorflow', 'wontfix', 'stale', 'awaiting_response']
0;zsdonghao;tensorlayer;['bug', 'discussion', 'enhancement', 'help_wanted', 'feature_request', 'stale', 'awaiting_response']
0;BenEmdon;CenteredCollectionView;['pinned', 'security']
6;benbalter;wordpress-to-jekyll-exporter;['pinned', 'security']
7;benbalter;wordpress-to-jekyll-exporter;['pinned', 'security']
2;benbalter;wordpress-to-jekyll-exporter;['pinned', 'security']
2;github;linguist;['Good First Issue', 'Add Language', 'Help Wanted', 'Blocked', 'Bug']
1;github;linguist;['Good First Issue', 'Add Language', 'Help Wanted', 'Blocked', 'Bug']
4;phpmyadmin;sql-parser;['pinned', 'security']
7;phpmyadmin;sql-parser;['pinned', 'security']
4;npds;npds_dune;['pinned', 'security']
9;npds;npds_dune;['pinned', 'security']
1;PlagueHO;ciSCSI;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'resource proposal', 'on hold']
2;PlagueHO;ciSCSI;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'resource proposal', 'on hold']
6;galetahub;ckeditor;['pinned', 'security']
3;atom;sort-lines;['security']
1;atom;sort-lines;['security']
4;atom;sort-lines;['regression', 'security', 'triaged']
0;atom;sort-lines;['regression', 'security', 'triaged']
3;gorilla;feeds;['v2', 'needs-review', 'work-required']
0;svemaraju;svemaraju.github.io;['pinned', 'security']
2;idehub;react-native-google-analytics-bridge;['pinned', 'security']
1;LinioIT;database;['pinned', 'security']
4;ssbc;emoji-server;['pinned', 'security']
2;db-migrate;node-db-migrate;['feature', 'Refactoring', 'RFC', 'bug', 'documentation', 'bounty', 'pinned', 'security']
9;db-migrate;node-db-migrate;['feature', 'Refactoring', 'RFC', 'bug', 'documentation', 'bounty', 'pinned', 'security']
7;PowerShell;xHyper-V;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'resource proposal', 'on hold']
8;Ikulagin;ikulagin.github.io;
6;benbalter;jekyll-avatar;['pinned', 'security']
3;benbalter;jekyll-avatar;['pinned', 'security']
1;openatx;uiautomator2;['pinned', 'security', 'feature-request']
8;apache;beam;['pinned', 'security']
4;apache;beam;['pinned', 'security']
2;apache;beam;['pinned', 'security']
5;apache;beam;['pinned', 'security']
5;apache;beam;['pinned', 'security']
5;apache;beam;['pinned', 'security']
1;lc-soft;LCUI;['pinned', 'contributions welcome', 'bug']
0;lc-soft;LCUI;['pinned', 'contributions welcome', 'needs milestone', 'bug']
2;lc-soft;LCUI;['pinned', 'contributions welcome', 'needs milestone', 'bug']
7;lc-soft;LCUI;['pinned', 'help wanted', 'needs milestone', 'bug']
8;mikedeboer;node-github;['pinned', 'bug', 'feature']
6;exercism;xdelphi;
5;LesliePajuelo;LesliePajuelo.github.io;['pinned', 'security']
0;LesliePajuelo;LesliePajuelo.github.io;['pinned', 'security']
5;LesliePajuelo;LesliePajuelo.github.io;
6;LesliePajuelo;LesliePajuelo.github.io;
5;LesliePajuelo;LesliePajuelo.github.io;
2;LesliePajuelo;LesliePajuelo.github.io;
1;LesliePajuelo;LesliePajuelo.github.io;
0;LesliePajuelo;LesliePajuelo.github.io;
2;LesliePajuelo;LesliePajuelo.github.io;
1;LesliePajuelo;LesliePajuelo.github.io;
4;LesliePajuelo;LesliePajuelo.github.io;
9;LesliePajuelo;LesliePajuelo.github.io;
4;LesliePajuelo;LesliePajuelo.github.io;
1;PyGithub;PyGithub;['bug', 'feature request']
2;PyGithub;PyGithub;['bug', 'feature request', 'confirmed']
4;Vel0x;vel0x.github.io;['pinned', 'security']
8;Vel0x;vel0x.github.io;['pinned', 'security']
3;Vel0x;vel0x.github.io;
4;Vel0x;vel0x.github.io;
3;Vel0x;vel0x.github.io;
3;Vel0x;vel0x.github.io;
2;Vel0x;vel0x.github.io;
8;Vel0x;vel0x.github.io;
1;Vel0x;vel0x.github.io;
7;Vel0x;vel0x.github.io;
3;Vel0x;vel0x.github.io;
6;Vel0x;vel0x.github.io;
8;Vel0x;vel0x.github.io;
5;Vel0x;vel0x.github.io;
9;Vel0x;vel0x.github.io;
